id,name,symbol,rank,price_usd,price_btc,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,volume_24h_usd
bitcoin,Bitcoin,BTC,1,9522.89,1.0,161009214964,16907600.0,16907600.0,21000000.0,-4.37,-6.91,-12.12,1520528665,8141870000.0
ethereum,Ethereum,ETH,2,719.519,0.0769281,70558170853.0,98062971.0,98062971.0,,-4.51,-5.27,-17.56,1520528652,2052920000.0
ripple,Ripple,XRP,3,0.842906,0.00009012,32950844859.0,39091956706.0,99992520283.0,100000000000,-2.25,-3.68,-9.38,1520528641,677577000.0
bitcoin-cash,Bitcoin Cash,BCH,4,1043.24,0.11154,17742147951.0,17006775.0,17006775.0,21000000.0,-3.73,-6.41,-18.94,1520528652,465142000.0
litecoin,Litecoin,LTC,5,178.169,0.0190491,9895351391.0,55539131.0,55539131.0,84000000.0,-3.7,-3.98,-15.98,1520528641,716968000.0
neo,NEO,NEO,6,92.6319,0.00990384,6021073500.0,65000000.0,100000000.0,100000000.0,-5.31,-7.26,-28.52,1520528647,214643000.0
cardano,Cardano,ADA,7,0.230444,0.00002464,5974737843.0,25927070538.0,31112483745.0,45000000000.0,-3.32,-8.58,-24.67,1520528654,184457000.0
stellar,Stellar,XLM,8,0.31643,0.00003383,5843955063.0,18468397632.0,103748462367,,-4.99,-1.89,-7.25,1520528643,57084100.0
monero,Monero,XMR,9,297.879,0.0318481,4707145571.0,15802207.0,15802207.0,,-5.2,-12.14,-1.89,1520528642,133431000.0
eos,EOS,EOS,10,6.179,0.00066063,4424575216.0,716066551.0,900000000.0,1000000000.0,-2.65,-6.5,-27.12,1520528651,360581000.0
dash,Dash,DASH,11,498.198,0.0532653,3952702605.0,7933999.0,7933999.0,18900000.0,-3.47,-6.15,-18.2,1520528641,109077000.0
iota,IOTA,MIOTA,12,1.41615,0.00015141,3936231810.0,2779530283.0,2779530283.0,2779530283.0,-5.1,-5.51,-28.22,1520528650,48506600.0
nem,NEM,XEM,13,0.336005,0.00003592,3024045000.0,8999999999.0,8999999999.0,,-6.14,11.0,-17.51,1520528644,63142900.0
tron,TRON,TRX,14,0.0364572,0.00000390,2396995003.0,65748192475.0,100000000000,,-5.68,-5.4,-20.14,1520528653,263733000.0
ethereum-classic,Ethereum Classic,ETC,15,23.1496,0.00247506,2323485604.0,100368283.0,100368283.0,,-4.21,3.25,-31.78,1520528647,641736000.0
tether,Tether,USDT,16,0.986196,0.00010544,2186535402.0,2217140814.0,2280109970.0,,-1.98,-1.54,-1.39,1520528645,3063810000.0
vechain,VeChain,VEN,17,3.66895,0.00039227,1755532735.0,478483690.0,873378637.0,,-6.92,-10.57,-27.67,1520528652,96604800.0
lisk,Lisk,LSK,18,15.2547,0.00163097,1565207424.0,102604930.0,118821576.0,,-6.13,-2.83,-23.77,1520528646,36566300.0
qtum,Qtum,QTUM,19,20.495,0.00219124,1515278396.0,73934052.0,100434052.0,,-3.92,-8.39,-23.02,1520528650,158755000.0
bitcoin-gold,Bitcoin Gold,BTG,20,88.0135,0.00941005,1484639098.0,16868311.0,16968311.0,21000000.0,-2.78,-6.3,-23.81,1520528655,26206600.0
omisego,OmiseGO,OMG,21,13.8293,0.00147858,1411177061.0,102042552.0,140245398.0,,-5.0,-4.15,-28.6,1520528651,46081600.0
nano,Nano,NANO,22,10.4178,0.00111383,1388154027.0,133248289.0,133248289.0,133248290.0,-9.24,-13.37,-36.59,1520528649,40634500.0
zcash,Zcash,ZEC,23,326.732,0.0349329,1122575595.0,3435769.0,3435769.0,,-4.64,-8.05,-17.2,1520528648,60361300.0
icon,ICON,ICX,24,2.71329,0.00029009,1046424677.0,385666359.0,400230000.0,,-6.56,-7.1,-27.93,1520528655,22628700.0
binance-coin,Binance Coin,BNB,25,8.2983,0.00088722,821647876.0,99014000.0,197192382.0,,-4.08,-7.18,-20.99,1520528652,60764300.0
digixdao,DigixDAO,DGD,26,357.006,0.0381696,714012000.0,2000000.0,2000000.0,,-5.6,-16.04,-33.15,1520528646,24329800.0
steem,Steem,STEEM,27,2.74615,0.00029361,690383287.0,251400429.0,268374523.0,,-4.13,-3.21,-18.61,1520528646,5474190.0
bytecoin-bcn,Bytecoin,BCN,28,0.00352351,0.00000038,647516314.0,183770250019,183770250019,184470000000,-2.48,-3.34,-24.85,1520528642,3555880.0
waves,Waves,WAVES,29,6.04091,0.00064587,604091000.0,100000000.0,100000000.0,,-5.55,1.06,-8.88,1520528647,32501400.0
populous,Populous,PPT,30,16.1597,0.00172773,597973973.0,37004027.0,53252246.0,53252246.0,-4.57,-6.61,-24.16,1520528652,2561630.0
